id,title,start_date,end_date,is_published,retailer,category
,,,,,,
1,Dpiu Fresco,2021-04-26,2021-03-19,1,Dpiu,Discount
,,,,,,
2,Dal 2 al 15 maggio 2018,2021-02-02,2021-03-19,1,Diper Spesa,Iper e super
,,,,,,
3,Grandi marche in festa!,2021-02-02,2021-04-01,1,Ok Market,Iper e super
,,,,,,
4,Sconti al 50%,2021-02-02,2021-05-13,1,Conad,Iper e super
,,,,,,
5,Sconti al 50%,2021-02-02,2021-05-13,1,Conad,Iper e super
,,,,,,
6,Sconti al 50%,2021-02-02,2021-05-13,1,Conad,Iper e super
,,,,,,
7,-50% su tanti prodotti,2021-02-02,2021-03-14,1,Conad,Iper e super
,,,,,,
8,Tanti prodotti al 50%,2021-01-26,2021-05-16,1,Conad,Iper e super
,,,,,,
9,Tanti prodotti al 50%,2021-01-26,2021-05-16,1,Conad,Iper e super
,,,,,,
10,Sconti al 50%,2021-02-02,2021-05-13,1,Conad,Iper e super
,,,,,,
11,Tanti prodotti al 50%,2021-01-26,2021-05-16,1,Conad,Iper e super
,,,,,,
12,-50% su tanti prodotti,2021-02-02,2021-03-14,1,Conad,Iper e super
,,,,,,
13,3x2,2021-02-01,2021-03-14,1,Prix,Discount
,,,,,,
14,3x2,2021-02-01,2021-03-14,1,Prix,Discount
,,,,,,
15,3x2,2021-02-01,2021-02-14,1,Prix,Discount
,,,,,,
16,3x2,2021-02-01,2021-02-14,1,Prix,Discount
,,,,,,
17,3x2,2021-02-01,2021-02-14,1,Prix,Discount
,,,,,,
18,3x2,2021-02-01,2021-02-14,1,Prix,Discount
,,,,,,
19,3x2,2021-02-01,2021-02-14,1,Prix,Discount
,,,,,,
20,Una bella stagione di offerte,2020-05-04,2020-05-15,1,A&O,Iper e super
,,,,,,
21,Offertissime di primavera,2020-02-02,2020-02-14,1,A&O,Iper e super
,,,,,,
22,Grande concorso,2020-02-02,2020-05-13,1,MD,Discount
,,,,,,
23,Grande concorso,2020-02-02,2020-05-13,1,MD,Discount
,,,,,,
24,Grande concorso,2020-02-02,2020-05-13,1,MD,Discount
,,,,,,
25,Grande concorso,2020-02-02,2020-05-13,1,MD,Discount
,,,,,,
26,Grande concorso,2020-02-02,2020-05-13,1,MD,Discount
,,,,,,
27,Grande concorso,2020-02-02,2020-05-13,1,MD,Discount
,,,,,,
28,Grande concorso,2020-02-02,2020-05-13,1,MD,Discount
,,,,,,
29,Grande concorso,2020-02-02,2020-05-13,1,MD,Discount
,,,,,,
30,Grande concorso,2020-02-02,2020-05-13,1,MD,Discount
,,,,,,
31,I sottofreschi,2021-02-02,2021-05-13,1,MD,Discount
,,,,,,
32,Grande concorso,2021-02-02,2021-05-13,1,MD,Discount
,,,,,,
33,Grande concorso,2021-02-02,2021-05-13,1,MD,Discount
,,,,,,
34,Dal 2 al 13 maggio 2018,2021-02-02,2021-05-13,1,MD,Discount
,,,,,,
35,Dal 2 al 13 maggio 2018,2021-02-02,2021-05-13,1,MD,Discount
,,,,,,
36,Dal 2 al 13 maggio 2018,2021-02-02,2021-05-13,1,MD,Discount
,,,,,,
37,Dal 2 al 13 maggio 2018,2021-02-02,2021-05-13,1,MD,Discount
,,,,,,
38,Grande concorso,2021-02-02,2021-05-13,1,MD,Discount
,,,,,,
39,Riaprono completamente rinnovati,2021-02-02,2021-05-13,1,MD,Discount
,,,,,,
40,Riapre completamente rinnovato,2021-02-02,2021-05-13,1,MD,Discount
,,,,,,
41,La carica dei cuccioli,2021-01-26,2021-05-30,1,Pet Store Conad,Animali
,,,,,,
42,La carica dei cuccioli,2021-02-02,2021-05-29,1,Pet Store Conad,Animali
